WKT,name,description
"POLYGON ((37.7432034 48.2296975, 37.7452634 48.2379873, 37.755708 48.243576, 37.75897 48.249405, 37.7500161 48.2508705, 37.7479991 48.2511277, 37.7445659 48.2477271, 37.7397164 48.2462124, 37.7396735 48.2435831, 37.7432034 48.2296975))",Russian Control,as of 5/2
"POLYGON ((38.267073 48.9102089, 38.2638141 48.917647, 38.266339 48.9233563, 38.2557654 48.9215462, 38.2588229 48.9177815, 38.2597773 48.915201, 38.2615396 48.9133884, 38.267073 48.9102089))",Ukrainian Control,as of 5/2
"POINT (36.4658885 47.1580491)",Russians Live Here 5/2,5/2

Zaporizhzhia In the villages of Saltychiya, Verkhniy Tokmak, and Obitochne, the orcs are going to occupy all the abandoned houses, as well as houses in which one person lives each
"POINT (36.4140417 47.1240704)",Russians Live Here 5/2,5/2

Zaporizhzhia In the villages of Saltychiya, Verkhniy Tokmak, and Obitochne, the orcs are going to occupy all the abandoned houses, as well as houses in which one person lives each

"POINT (36.3635786 47.1862887)",Russians Live Here 5/2,5/2

Zaporizhzhia In the villages of Saltychiya, Verkhniy Tokmak, and Obitochne, the orcs are going to occupy all the abandoned houses, as well as houses in which one person lives each
"POINT (34.504828 53.213789 0.0)",Train Derail,
"POINT (37.908648 48.576493 0.0)",Ukrainian YRP-765 Destroyed,
"POINT (36.6708632 45.1520969)",Drone Strike?,
"POINT (37.709639 48.088639 0.0)",Russian BMP-1 Destroyed,
"POINT (37.301778 47.73775 0.0)",Russian T-80BV Destroyed,
"POINT (36.48532 47.68534 0.0)",Drone Attack,
"POINT (36.310216 47.64855 0.0)",Drone Attack,
"POINT (34.628949 47.624226 0.0)",Drone Attack,
"POINT (35.4362561 50.8771703)",Drone Attack,
"POINT (35.370091 46.86979 0.0)",Attempted Assassination,
"POINT (33.889942 45.05243 0.0)",Explosion and Fire,
"POINT (34.628433 44.98227 0.0)",Air Defense Active,
"POINT (35.2744597 47.7588351)",S-300 Strike somewhere,
"POINT (38.416682 49.079027 0.0)",Strike,
"POINT (37.965755 48.593495 0.0)",Airstrike,
"POINT (37.961292 48.592189 0.0)",Airstrike,
"POINT (36.258071 47.666961 0.0)",Airstrike,
"POINT (35.767723 47.570811 0.0)",Airstike,
"POINT (32.395365 46.5533 0.0)",Airstrike,
"POINT (33.519942 44.59519 0.0)",Explosion?,
"POINT (37.767911 49.85576 0.0)",U Shelling,
"POINT (37.725668 49.825281 0.0)",U Shelling,
"POINT (37.770658 49.791975 0.0)",U Shelling,
"POINT (37.886701 49.784754 0.0)",U Shelling,
"POINT (37.918973 49.68883 0.0)",U Shelling,
"POINT (37.985578 49.591453 0.0)",U Shelling,
"POINT (37.981722 49.52596 0.0)",U Shelling,
"POINT (37.979842 49.51836 0.0)",U Shelling,
"POINT (37.991757 49.497668 0.0)",U Shelling,
"POINT (37.960642 49.457231 0.0)",U Shelling,
"POINT (37.954806 49.409004 0.0)",U Shelling,
"POINT (38.081533 49.199538 0.0)",U Shelling,
"POINT (38.084966 49.137133 0.0)",U Shelling,
"POINT (38.108508 49.115392 0.0)",U Shelling,
"POINT (38.117925 49.063853 0.0)",U Shelling,
"POINT (38.018704 49.047781 0.0)",U Shelling,
"POINT (38.005964 49.042055 0.0)",U Shelling,
"POINT (38.185558 49.011427 0.0)",U Shelling,
"POINT (38.116053 48.99191 0.0)",U Shelling,
"POINT (38.192425 48.985299 0.0)",U Shelling,
"POINT (38.268642 48.964115 0.0)",U Shelling,
"POINT (38.283594 48.9146 0.0)",U Shelling,
"POINT (38.275721 48.89927 0.0)",U Shelling,
"POINT (38.264325 48.875541 0.0)",U Shelling,
"POINT (38.26599 48.805655 0.0)",U Shelling,
"POINT (38.24807 48.7589 0.0)",U Shelling,
"POINT (38.230962 48.738741 0.0)",U Shelling,
"POINT (38.003425 48.660122 0.0)",U Shelling,
"POINT (37.898708 48.648094 0.0)",U Shelling,
"POINT (37.988408 48.62984 0.0)",U Shelling,
"POINT (38.039148 48.623514 0.0)",U Shelling,
"POINT (38.059831 48.607112 0.0)",U Shelling,
"POINT (37.974337 48.599251 0.0)",U Shelling,
"POINT (37.970052 48.599052 0.0)",U Shelling,
"POINT (37.974775 48.59299 0.0)",U Shelling,
"POINT (37.978153 48.586773 0.0)",U Shelling,
"POINT (37.974604 48.5822 0.0)",U Shelling,
"POINT (38.019499 48.57641 0.0)",U Shelling,
"POINT (37.99358 48.5734 0.0)",U Shelling,
"POINT (37.966797 48.5585 0.0)",U Shelling,
"POINT (37.900057 48.548216 0.0)",U Shelling,
"POINT (37.891875 48.53835 0.0)",U Shelling,
"POINT (37.967348 48.535033 0.0)",U Shelling,
"POINT (37.94946 48.52658 0.0)",U Shelling,
"POINT (37.906237 48.525711 0.0)",U Shelling,
"POINT (37.893191 48.515023 0.0)",U Shelling,
"POINT (37.913183 48.49216 0.0)",U Shelling,
"POINT (37.9542 48.468219 0.0)",U Shelling,
"POINT (37.947176 48.4578 0.0)",U Shelling,
"POINT (37.996505 48.393131 0.0)",U Shelling,
"POINT (37.949813 48.368732 0.0)",U Shelling,
"POINT (37.925781 48.302317 0.0)",U Shelling,
"POINT (37.850297 48.275619 0.0)",U Shelling,
"POINT (37.855568 48.26347 0.0)",U Shelling,
"POINT (37.776744 48.247994 0.0)",U Shelling,
"POINT (37.739164 48.233038 0.0)",U Shelling,
"POINT (37.735731 48.222518 0.0)",U Shelling,
"POINT (37.883377 48.216827 0.0)",U Shelling,
"POINT (37.966461 48.212252 0.0)",U Shelling,
"POINT (37.730185 48.20586 0.0)",U Shelling,
"POINT (37.899857 48.20104 0.0)",U Shelling,
"POINT (37.785517 48.17604 0.0)",U Shelling,
"POINT (37.86083 48.116236 0.0)",U Shelling,
"POINT (37.7996 48.113 0.0)",U Shelling,
"POINT (37.693154 48.105172 0.0)",U Shelling,
"POINT (37.903402 48.103857 0.0)",U Shelling,
"POINT (37.770964 48.102289 0.0)",U Shelling,
"POINT (37.661911 48.100357 0.0)",U Shelling,
"POINT (37.640485 48.099508 0.0)",U Shelling,
"POINT (37.723651 48.09686 0.0)",U Shelling,
"POINT (37.668091 48.087745 0.0)",U Shelling,
"POINT (37.769178 48.081424 0.0)",U Shelling,
"POINT (37.640736 48.071178 0.0)",U Shelling,
"POINT (37.669121 48.062053 0.0)",U Shelling,
"POINT (37.594564 48.055145 0.0)",U Shelling,
"POINT (37.590793 48.037664 0.0)",U Shelling,
"POINT (37.556023 48.00617 0.0)",U Shelling,
"POINT (37.508564 47.95139 0.0)",U Shelling,
"POINT (37.569356 47.94174 0.0)",U Shelling,
"POINT (37.509788 47.93896 0.0)",U Shelling,
"POINT (37.527814 47.931397 0.0)",U Shelling,
"POINT (37.542819 47.86039 0.0)",U Shelling,
"POINT (36.812188 47.81426 0.0)",U Shelling,
"POINT (36.638556 47.781334 0.0)",U Shelling,
"POINT (37.207513 47.764447 0.0)",U Shelling,
"POINT (37.180047 47.761216 0.0)",U Shelling,
"POINT (37.297115 47.75618 0.0)",U Shelling,
"POINT (37.327997 47.75349 0.0)",U Shelling,
"POINT (37.231546 47.751984 0.0)",U Shelling,
"POINT (36.587744 47.745794 0.0)",U Shelling,
"POINT (37.376423 47.74025 0.0)",U Shelling,
"POINT (37.222046 47.7029 0.0)",U Shelling,
"POINT (37.41928 47.7021 0.0)",U Shelling,
"POINT (37.291063 47.65702 0.0)",U Shelling,
"POINT (36.370208 47.620803 0.0)",U Shelling,
"POINT (36.429259 47.59812 0.0)",U Shelling,
"POINT (36.274395 47.58483 0.0)",U Shelling,
"POINT (36.299483 47.558169 0.0)",U Shelling,
"POINT (34.650658 47.515621 0.0)",U Shelling,
"POINT (36.049857 47.513901 0.0)",U Shelling,
"POINT (35.988272 47.502034 0.0)",U Shelling,
"POINT (35.431904 47.498725 0.0)",U Shelling,
"POINT (36.222419 47.497395 0.0)",U Shelling,
"POINT (35.848555 47.497339 0.0)",U Shelling,
"POINT (35.806311 47.489972 0.0)",U Shelling,
"POINT (35.647696 47.487652 0.0)",U Shelling,
"POINT (36.238898 47.48394 0.0)",U Shelling,
"POINT (36.367301 47.474659 0.0)",U Shelling,
"POINT (34.733265 47.473983 0.0)",U Shelling,
"POINT (34.527185 47.468524 0.0)",U Shelling,
"POINT (35.821418 47.453305 0.0)",U Shelling,
"POINT (35.725287 47.447733 0.0)",U Shelling,
"POINT (36.39408 47.436588 0.0)",U Shelling,
"POINT (35.178532 47.290951 0.0)",U Shelling,
"POINT (35.123601 47.277443 0.0)",U Shelling,
"POINT (33.770951 47.017955 0.0)",U Shelling,
"POINT (33.749665 47.001568 0.0)",U Shelling,
"POINT (33.492332 46.796177 0.0)",U Shelling,
"POINT (33.379058 46.74289 0.0)",U Shelling,
"POINT (33.386588 46.714322 0.0)",U Shelling,
"POINT (32.682782 46.625586 0.0)",U Shelling,
"POINT (32.741793 46.612852 0.0)",U Shelling,
"POINT (32.723253 46.596813 0.0)",U Shelling,
"POINT (32.519043 46.5401 0.0)",U Shelling,
"POINT (31.750472 46.538542 0.0)",U Shelling,
"POINT (32.52863 46.532845 0.0)",U Shelling,
"POINT (31.570571 46.53193 0.0)",U Shelling,
"POINT (32.541622 46.50406 0.0)",U Shelling,
"POINT (31.868575 46.488453 0.0)",U Shelling,
"POINT (32.45556 46.480795 0.0)",U Shelling,
"POINT (33.288424 52.34861 0.0)",R Shelling,
"POINT (33.383197 52.345108 0.0)",R Shelling,
"POINT (32.424949 52.301794 0.0)",R Shelling,
"POINT (33.031716 52.2892 0.0)",R Shelling,
