WKT,name,description
"POINT (36.286708 51.750428 0.0)",Explosions?!,
"POINT (37.69846 47.939574 0.0)",Explosion?!,
"POINT (34.742505 47.484619 0.0)",SPGs destroyed,
"POINT (35.530467 47.469887 0.0)",TOR destroyed,
"POINT (34.61214 47.4412 0.0)",Ammo warehouse destroyed,
"POINT (33.425856 44.580087 0.0)",Naval Drone Attack,
"POINT (33.430105 44.575594 0.0)",Drone Attack,
"POINT (31.024041 49.96611 0.0)",Drone Strike,
"POINT (37.835267 48.59135 0.0)",Strike,
"POINT (35.159389 47.81969 0.0)",Missile Strike,
"POINT (32.879468 52.329507 0.0)",U Shelling,
"POINT (37.7355 49.846644 0.0)",U Shelling,
"POINT (37.982024 49.525948 0.0)",U Shelling,
"POINT (37.970694 49.525725 0.0)",U Shelling,
"POINT (38.070256 49.204126 0.0)",U Shelling,
"POINT (38.091699 49.14256 0.0)",U Shelling,
"POINT (38.09692 49.105835 0.0)",U Shelling,
"POINT (38.006834 49.043627 0.0)",U Shelling,
"POINT (38.024687 49.040927 0.0)",U Shelling,
"POINT (38.184933 49.002708 0.0)",U Shelling,
"POINT (38.109922 48.99844 0.0)",U Shelling,
"POINT (38.219059 48.982531 0.0)",U Shelling,
"POINT (38.252488 48.948305 0.0)",U Shelling,
"POINT (38.274262 48.884661 0.0)",U Shelling,
"POINT (38.247827 48.87563 0.0)",U Shelling,
"POINT (38.239244 48.865242 0.0)",U Shelling,
"POINT (38.251663 48.781161 0.0)",U Shelling,
"POINT (38.197075 48.752422 0.0)",U Shelling,
"POINT (38.034347 48.748897 0.0)",U Shelling,
"POINT (38.052915 48.74533 0.0)",U Shelling,
"POINT (38.020128 48.742278 0.0)",U Shelling,
"POINT (37.888574 48.68166 0.0)",U Shelling,
"POINT (37.896185 48.677357 0.0)",U Shelling,
"POINT (37.90537 48.6743 0.0)",U Shelling,
"POINT (37.895612 48.658893 0.0)",U Shelling,
"POINT (37.889089 48.64392 0.0)",U Shelling,
"POINT (37.915696 48.630878 0.0)",U Shelling,
"POINT (37.92634 48.619872 0.0)",U Shelling,
"POINT (37.974783 48.61245 0.0)",U Shelling,
"POINT (37.969901 48.612022 0.0)",U Shelling,
"POINT (37.989728 48.611625 0.0)",U Shelling,
"POINT (37.9641892 48.6063082)",U Shelling,
"POINT (37.977213 48.577964 0.0)",U Shelling,
"POINT (38.002258 48.577906 0.0)",U Shelling,
"POINT (37.970714 48.575612 0.0)",U Shelling,
"POINT (37.968697 48.573256 0.0)",U Shelling,
"POINT (37.972774 48.573227 0.0)",U Shelling,
"POINT (37.966895 48.572915 0.0)",U Shelling,
"POINT (37.9941387 48.5716775)",U Shelling,
"POINT (37.9999753 48.5734802)",U Shelling,
"POINT (37.9980873 48.5722449)",U Shelling,
"POINT (37.9933877 48.5729694)",U Shelling,
"POINT (37.901773 48.554764 0.0)",U Shelling,
"POINT (37.888384 48.552037 0.0)",U Shelling,
"POINT (37.946958 48.549553 0.0)",U Shelling,
"POINT (37.898333 48.534973 0.0)",U Shelling,
"POINT (37.951898 48.531315 0.0)",U Shelling,
"POINT (37.915506 48.528587 0.0)",U Shelling,
"POINT (37.956018 48.467174 0.0)",U Shelling,
"POINT (37.945719 48.450325 0.0)",U Shelling,
"POINT (37.966694 48.394661 0.0)",U Shelling,
"POINT (37.773797 48.245049 0.0)",U Shelling,
"POINT (37.86876 48.219865 0.0)",U Shelling,
"POINT (37.751332 48.219573 0.0)",U Shelling,
"POINT (37.7205 48.20971 0.0)",U Shelling,
"POINT (37.708655 48.204161 0.0)",U Shelling,
"POINT (37.717066 48.199699 0.0)",U Shelling,
"POINT (37.732298 48.196807 0.0)",U Shelling,
"POINT (37.784139 48.172086 0.0)",U Shelling,
"POINT (37.877879 48.123094 0.0)",U Shelling,
"POINT (37.709791 48.111726 0.0)",U Shelling,
"POINT (37.661466 48.11089 0.0)",U Shelling,
"POINT (37.633464 48.10326 0.0)",U Shelling,
