WKT,name,description
"POINT (36.215887 50.123258 0.0)",Air Defense Active,
"POINT (30.829944 50.66787 0.0)",Air Defense Active,
"POINT (38.290337 49.905704 0.0)",HIMARS,
"POINT (30.709089 50.56855 0.0)",Shahed Attack,
"POINT (35.194388 47.812614 0.0)",S-300 Strike,
"POINT (36.279738 50.017272 0.0)",S-300 Strike,
"POINT (33.347345 46.743105 0.0)",Explosions?,
"POINT (33.153332 46.78994 0.0)",Airstrike,
"POINT (37.651453 48.110215 0.0)",Javelin kill,
"POINT (37.663562 48.100024 0.0)",Javelin Kill,
"POINT (37.668224 48.090057 0.0)",U Shelling,
"POINT (37.746367 49.84813 0.0)",U Shelling,
"POINT (37.800471 49.776874 0.0)",U Shelling,
"POINT (37.94812 49.588372 0.0)",U Shelling,
"POINT (37.947605 49.580692 0.0)",U Shelling,
"POINT (37.946328 49.552434 0.0)",U Shelling,
"POINT (37.967957 49.525058 0.0)",U Shelling,
"POINT (37.979344 49.52238 0.0)",U Shelling,
"POINT (37.978216 49.47323 0.0)",U Shelling,
"POINT (37.960013 49.47218 0.0)",U Shelling,
"POINT (37.949034 49.457502 0.0)",U Shelling,
"POINT (37.965685 49.44757 0.0)",U Shelling,
"POINT (37.945814 49.412104 0.0)",U Shelling,
"POINT (38.055579 49.21569 0.0)",U Shelling,
"POINT (38.075345 49.204416 0.0)",U Shelling,
"POINT (38.076178 49.164532 0.0)",U Shelling,
"POINT (38.089435 49.11186 0.0)",U Shelling,
"POINT (38.086172 49.088305 0.0)",U Shelling,
"POINT (38.004456 49.04877 0.0)",U Shelling,
"POINT (38.188535 49.00802 0.0)",U Shelling,
"POINT (38.099271 49.005772 0.0)",U Shelling,
"POINT (38.110601 48.987977 0.0)",U Shelling,
"POINT (38.255844 48.951003 0.0)",U Shelling,
"POINT (38.266928 48.87616 0.0)",U Shelling,
"POINT (38.243994 48.777721 0.0)",U Shelling,
"POINT (38.19674 48.750313 0.0)",U Shelling,
"POINT (38.034113 48.721191 0.0)",U Shelling,
"POINT (37.891097 48.68567 0.0)",U Shelling,
"POINT (37.891692 48.658439 0.0)",U Shelling,
"POINT (37.893309 48.6447 0.0)",U Shelling,
"POINT (37.91521 48.629743 0.0)",U Shelling,
"POINT (37.983035 48.628792 0.0)",U Shelling,
"POINT (37.929114 48.619304 0.0)",U Shelling,
"POINT (37.976512 48.614608 0.0)",U Shelling,
"POINT (38.003516 48.58911 0.0)",U Shelling,
"POINT (38.006393 48.58619 0.0)",U Shelling,
"POINT (38.004452 48.584098 0.0)",U Shelling,
"POINT (38.001994 48.582465 0.0)",U Shelling,
"POINT (38.005568 48.580805 0.0)",U Shelling,
"POINT (37.9777289 48.5803888)",U Shelling,
"POINT (38.000621 48.580279 0.0)",U Shelling,
"POINT (37.998175 48.577638 0.0)",U Shelling,
"POINT (38.000964 48.577298 0.0)",U Shelling,
"POINT (37.966276 48.576871 0.0)",U Shelling,
"POINT (37.9766179 48.5794546)",U Shelling,
"POINT (37.993712 48.574685 0.0)",U Shelling,
"POINT (37.964688 48.574117 0.0)",U Shelling,
"POINT (37.896425 48.547702 0.0)",U Shelling,
"POINT (37.896101 48.53338 0.0)",U Shelling,
"POINT (37.954702 48.53222 0.0)",U Shelling,
"POINT (37.948597 48.44974 0.0)",U Shelling,
"POINT (37.944992 48.44405 0.0)",U Shelling,
"POINT (37.945679 48.438015 0.0)",U Shelling,
"POINT (37.96573 48.3971 0.0)",U Shelling,
"POINT (37.746466 48.242701 0.0)",U Shelling,
"POINT (37.715567 48.206791 0.0)",U Shelling,
"POINT (37.71797 48.200498 0.0)",U Shelling,
"POINT (37.783459 48.177839 0.0)",U Shelling,
"POINT (37.712657 48.116442 0.0)",U Shelling,
"POINT (37.659529 48.109852 0.0)",U Shelling,
"POINT (37.626708 48.10292 0.0)",U Shelling,
"POINT (37.659442 48.097185 0.0)",U Shelling,
"POINT (37.668893 48.086589 0.0)",U Shelling,
"POINT (37.621677 48.083425 0.0)",U Shelling,
"POINT (37.636783 48.072874 0.0)",U Shelling,
"POINT (37.557149 48.00441 0.0)",U Shelling,
"POINT (37.501092 47.96176 0.0)",U Shelling,
"POINT (37.499267 47.95631 0.0)",U Shelling,
"POINT (37.509252 47.946057 0.0)",U Shelling,
"POINT (37.582923 47.942136 0.0)",U Shelling,
"POINT (37.504274 47.938927 0.0)",U Shelling,
"POINT (37.529022 47.931096 0.0)",U Shelling,
"POINT (36.81508 47.809802 0.0)",U Shelling,
"POINT (37.275932 47.767456 0.0)",U Shelling,
"POINT (37.290457 47.759073 0.0)",U Shelling,
"POINT (37.32662 47.7549 0.0)",U Shelling,
"POINT (37.302816 47.754688 0.0)",U Shelling,
"POINT (37.220953 47.753038 0.0)",U Shelling,
"POINT (37.380266 47.73674 0.0)",U Shelling,
"POINT (37.222568 47.70773 0.0)",U Shelling,
"POINT (37.297255 47.653194 0.0)",U Shelling,
"POINT (36.358972 47.621265 0.0)",U Shelling,
"POINT (36.390557 47.614554 0.0)",U Shelling,
"POINT (36.265728 47.5873 0.0)",U Shelling,
"POINT (36.04973 47.506069 0.0)",U Shelling,
"POINT (35.982438 47.503518 0.0)",U Shelling,
"POINT (35.663675 47.490185 0.0)",U Shelling,
"POINT (36.251603 47.47011 0.0)",U Shelling,
"POINT (35.739901 47.449803 0.0)",U Shelling,
"POINT (33.732254 47.000202 0.0)",U Shelling,
"POINT (32.783972 46.555362 0.0)",U Shelling,
"POINT (37.656313 48.110935 0.0)",U shelling,
"POINT (33.483853 52.328006 0.0)",R Shelling,
"POINT (33.849498 52.272773 0.0)",R Shelling,
"POINT (33.931149 52.174685 0.0)",R Shelling,
"POINT (31.852753 52.028117 0.0)",R Shelling,
"POINT (34.071188 51.76887 0.0)",R Shelling,
"POINT (34.190926 51.729139 0.0)",R Shelling,
"POINT (34.391588 51.239192 0.0)",R Shelling,
"POINT (34.461678 51.238943 0.0)",R Shelling,
"POINT (34.269324 51.22038 0.0)",R Shelling,
"POINT (35.086246 51.184704 0.0)",R Shelling,
"POINT (34.327351 51.150923 0.0)",R Shelling,
"POINT (36.074508 50.39487 0.0)",R Shelling,
"POINT (37.429251 50.3942 0.0)",R Shelling,
"POINT (36.222698 50.360607 0.0)",R Shelling,
"POINT (36.195146 50.337758 0.0)",R Shelling,
"POINT (37.141514 50.3251 0.0)",R Shelling,
"POINT (37.08162 50.3055 0.0)",R Shelling,
"POINT (36.405354 50.301544 0.0)",R Shelling,
"POINT (36.873617 50.297087 0.0)",R Shelling,
"POINT (37.503573 50.284586 0.0)",R Shelling,
"POINT (36.941424 50.279319 0.0)",R Shelling,
"POINT (36.425301 50.25678 0.0)",R Shelling,
"POINT (36.679841 50.039438 0.0)",R Shelling,
"POINT (37.770826 50.023598 0.0)",R Shelling,
"POINT (37.688925 49.997434 0.0)",R Shelling,
"POINT (37.679146 49.85732 0.0)",R Shelling,
"POINT (37.616998 49.81881 0.0)",R Shelling,
"POINT (37.603694 49.71762 0.0)",R Shelling,
"POINT (37.717618 49.715409 0.0)",R Shelling,
"POINT (37.635526 49.711078 0.0)",R Shelling,
"POINT (37.907137 49.641726 0.0)",R Shelling,
"POINT (37.91851 49.573236 0.0)",R Shelling,
"POINT (37.957883 49.521797 0.0)",R Shelling,
"POINT (37.928186 49.478875 0.0)",R Shelling,
"POINT (37.906557 49.469394 0.0)",R Shelling,
"POINT (37.98029 49.174759 0.0)",R Shelling,
"POINT (37.89376 49.086237 0.0)",R Shelling,
"POINT (37.972052 48.995448 0.0)",R Shelling,
"POINT (38.149578 48.988114 0.0)",R Shelling,
"POINT (38.24388 48.933691 0.0)",R Shelling,
"POINT (38.103522 48.866248 0.0)",R Shelling,
"POINT (38.246947 48.808157 0.0)",R Shelling,
"POINT (38.149112 48.800557 0.0)",R Shelling,
"POINT (38.178294 48.778278 0.0)",R Shelling,
"POINT (38.182757 48.764701 0.0)",R Shelling,
"POINT (38.167308 48.755762 0.0)",R Shelling,
"POINT (38.126281 48.755422 0.0)",R Shelling,
"POINT (37.861781 48.699602 0.0)",R Shelling,
"POINT (37.86343 48.685919 0.0)",R Shelling,
"POINT (37.88292 48.6768 0.0)",R Shelling,
"POINT (37.876716 48.662994 0.0)",R Shelling,
"POINT (37.867103 48.641447 0.0)",R Shelling,
"POINT (37.532829 48.608989 0.0)",R Shelling,
"POINT (37.97958 48.607033 0.0)",R Shelling,
