WKT,name,description
"POLYGON ((38.0382013 48.6111442, 38.0378299 48.6119168, 38.0389705 48.6148787, 38.0417986 48.618934, 38.0394217 48.6199478, 38.0380747 48.6211886, 38.0382249 48.6224084, 38.0355642 48.6197141, 38.0323888 48.6171899, 38.0313588 48.6158139, 38.0315305 48.6142676, 38.0339338 48.6127071, 38.0382013 48.6111442))",Russian Advance,as of 12/20
"POLYGON ((38.2279583 48.7570219, 38.228645 48.7620011, 38.2314768 48.7695817, 38.243793 48.7806406, 38.239694 48.7797987, 38.2359384 48.780201, 38.2354017 48.7780517, 38.2338352 48.7771468, 38.2318396 48.7772034, 38.229329 48.7768641, 38.2258529 48.7755348, 38.2232354 48.7738661, 38.2184504 48.7733715, 38.2132363 48.7738949, 38.2069492 48.7742483, 38.2020352 48.7747145, 38.2017134 48.7725649, 38.2023356 48.7677001, 38.2039762 48.7626079, 38.2046101 48.7591004, 38.2261334 48.7590373, 38.2279583 48.7570219))",Russian Advance,as of 12/20
"POLYGON ((37.8344895 48.2588725, 37.8434846 48.2625819, 37.8476395 48.2685787, 37.8515198 48.2719198, 37.8555721 48.2728613, 37.856536 48.2757989, 37.8502974 48.2756198, 37.8362212 48.2740203, 37.8300414 48.2737347, 37.8253207 48.2753913, 37.8142485 48.2749343, 37.8062876 48.2743058, 37.8073392 48.2684787, 37.811502 48.2667362, 37.814034 48.2641936, 37.8249345 48.2603367, 37.8344895 48.2588725))",Russian Control,as of 12/20
"POLYGON ((37.5529404 48.0010409, 37.5684584 47.9981327, 37.5823046 48.0058515, 37.5946336 48.0076056, 37.6174476 48.0079738, 37.6573937 48.0127959, 37.6561062 48.0141739, 37.6509564 48.017791, 37.6475231 48.0203745, 37.6458924 48.0227282, 37.6447766 48.0290425, 37.6355411 48.0335071, 37.6246835 48.0360037, 37.6133109 48.0392175, 37.6044704 48.0428042, 37.599385 48.0402935, 37.5945637 48.0551454, 37.5947133 48.0536016, 37.5944795 48.0450163, 37.5922914 48.0419224, 37.5846107 48.038656, 37.5864883 48.0351818, 37.5882875 48.0157218, 37.5750705 48.0142289, 37.5753706 48.0120194, 37.5750195 48.0076638, 37.5735682 48.0066505, 37.5628444 48.0062845, 37.5578263 48.0087899, 37.5527653 48.0059204, 37.5523593 48.0044569, 37.5529404 48.0010409))",Russian Control,as of 12/19
"POLYGON ((37.9843195 48.5344412, 37.9946925 48.5348541, 38.0003679 48.5354153, 38.0000354 48.540182, 37.986023 48.540105, 37.980959 48.5390252, 37.9821606 48.5381444, 37.9836197 48.5364678, 37.9843195 48.5344412))",Russian Control,as of 12/20
"POLYGON ((37.517696 47.9187506, 37.5166267 47.9197433, 37.5132024 47.921447, 37.5127821 47.9196708, 37.5175351 47.918362, 37.5154644 47.9096613, 37.5200992 47.9090285, 37.5162369 47.8953338, 37.5263883 47.8941166, 37.5263649 47.884053, 37.5370079 47.8839955, 37.5363977 47.8944068, 37.526517 47.8946345, 37.5267631 47.9076371, 37.5203258 47.9163816, 37.517696 47.9187506))",Russian Control,as of 12/19
"POLYGON ((37.9361577 48.489902, 37.9513068 48.4904053, 37.957613 48.4935445, 37.9623114 48.4935214, 37.9632333 48.5002667, 37.9661515 48.5079439, 37.9690692 48.5177227, 37.9729321 48.5256825, 37.9757178 48.5321222, 37.9751564 48.5375389, 37.9746344 48.5393926, 37.9555789 48.5187237, 37.9446505 48.5101079, 37.9343553 48.4991163, 37.9361577 48.489902))",Ukrainian Control,as of 12/20
"POLYGON ((37.4771161 47.8788009, 37.5041576 47.8783499, 37.5049301 47.8888837, 37.4963684 47.8897902, 37.5032993 47.9148347, 37.4822708 47.9169344, 37.4827342 47.9150669, 37.4779277 47.9144916, 37.4807778 47.8987762, 37.4771161 47.8788009))",Ukrainian Control,as of 12/19
"POLYGON ((37.7477609 48.249002, 37.7440332 48.2465435, 37.751974 48.2473081, 37.7551934 48.2470186, 37.7565673 48.2455574, 37.7617626 48.2451707, 37.7631486 48.2439775, 37.7625689 48.2428212, 37.7635343 48.2429147, 37.764017 48.2432972, 37.7643549 48.2434313, 37.7683621 48.2437369, 37.7729223 48.2445353, 37.7805626 48.2436134, 37.7888909 48.243998, 37.8011698 48.2431077, 37.8040128 48.2441275, 37.8069094 48.2470354, 37.8092485 48.2501147, 37.8100699 48.250664, 37.8110201 48.2509561, 37.8131074 48.2516985, 37.814358 48.2526837, 37.8164084 48.2531397, 37.8173049 48.2535106, 37.8173777 48.2539604, 37.8170213 48.2540815, 37.8136117 48.2536363, 37.8116172 48.2541852, 37.8088931 48.2556198, 37.8076544 48.2550494, 37.8043557 48.2551647, 37.8005908 48.256481, 37.7968272 48.2562354, 37.7934929 48.2555326, 37.7875968 48.255384, 37.7804392 48.2553429, 37.7750264 48.2556509, 37.7689268 48.2564728, 37.7593024 48.2565732, 37.7552936 48.2555504, 37.751471 48.253688, 37.7492938 48.2513594, 37.7477609 48.249002))",Ukrainian Control,as of 12/20
"POINT (32.5204349 46.5108608)",Ammo warehouse destroyed,6
"POINT (38.9173661 48.150179)",Hospitals Full,All hospitals in the city are full of wounded, mostly Wagnerians. In the children's hospital on Khasanov street, they occupied one building, on Izvestia, the therapeutic department, on Knyagininskaya trauma and urology. There are not enough medical staff. Everywhere protection (protect them or from them). They stuck them among ordinary patients, they are afraid of arrivals.
"POINT (32.861979 52.0454)",UAV,
"POINT (37.091705 50.303193)",UAV,
"POINT (38.6279 48.562611)",Missile Strike,
"POINT (35.716679 47.267759)",Missile Strike,
"POINT (36.647655 47.367006)",Missile Strike,
"POINT (35.34915 46.866301)",Missile Strike,
"POINT (32.627671 46.64861)",Rocket Attack,
"POINT (34.190236 46.47266)",Missile Strike,
"POINT (33.544318 46.353883)",Missile Strike,
"POINT (38.25334 48.811353)",Airstrike,
"POINT (37.9648704 48.5057924)",Airstrike,
"POINT (37.779871 48.12821)",Airstrike,
"POINT (37.579092 48.05885)",Airstrike,
"POINT (37.257477 47.775336)",Airstrike,
"POINT (35.544007 47.54197)",Airstrike,
"POINT (35.702622 47.53722)",Airstrike,
"POINT (36.931888 50.297629)",Helicopter Attack,
"POINT (37.946318 49.52254)",Helicopter Attack,
"POINT (37.91305 49.422422)",Helicopter Attack,
"POINT (38.0787 49.189879)",Helicopter Attack,
"POINT (38.256206 48.932099)",Helicopter Attack,
"POINT (38.200527 48.739866)",Helicopter Attack,
"POINT (38.092677 48.673005)",Helicopter Attack,
"POINT (37.857475 48.331584)",Helicopter Attack,
"POINT (37.789889 48.178173)",Helicopter Attack,
"POINT (36.804275 47.830459)",Helicopter Attack,
"POINT (36.558031 47.72556)",Helicopter Attack,
"POINT (34.088146 52.333406)",U Shelling,
"POINT (34.086579 52.330399)",U Shelling,
"POINT (35.304024 51.165089)",U Shelling,
"POINT (36.896772 50.404623)",U Shelling,
"POINT (37.790517 49.765609)",U Shelling,
"POINT (37.903862 49.737273)",U Shelling,
"POINT (37.930311 49.68729)",U Shelling,
"POINT (37.964238 49.588101)",U Shelling,
"POINT (38.152538 49.58164)",U Shelling,
"POINT (38.162335 49.422675)",U Shelling,
"POINT (38.147229 49.389613)",U Shelling,
"POINT (37.962522 49.366813)",U Shelling,
"POINT (38.027753 49.301933)",U Shelling,
"POINT (38.155469 49.130598)",U Shelling,
"POINT (38.186699 49.10286)",U Shelling,
"POINT (38.220014 49.051009)",U Shelling,
"POINT (38.206753 49.03291)",U Shelling,
"POINT (38.278378 49.028953)",U Shelling,
"POINT (38.109123 49.00086)",U Shelling,
"POINT (38.293485 48.993373)",U Shelling,
"POINT (38.252973 48.946946)",U Shelling,
"POINT (38.294644 48.93355)",U Shelling,
"POINT (38.267049 48.876998)",U Shelling,
"POINT (38.297461 48.84877)",U Shelling,
"POINT (38.267491 48.80486)",U Shelling,
"POINT (38.2179533 48.7625017)",U Shelling,
"POINT (38.23409 48.762728)",U Shelling,
"POINT (38.208748 48.73342)",U Shelling,
"POINT (38.145987 48.71665)",U Shelling,
"POINT (38.124646 48.712454)",U Shelling,
"POINT (38.097555 48.68531)",U Shelling,
"POINT (38.101183 48.677787)",U Shelling,
"POINT (38.11592 48.650169)",U Shelling,
"POINT (38.143985 48.621376)",U Shelling,
"POINT (38.038075 48.621188)",U Shelling,
"POINT (38.033159 48.616483)",U Shelling,
"POINT (38.036433 48.59565)",U Shelling,
"POINT (38.038239 48.58866)",U Shelling,
"POINT (38.029898 48.574816)",U Shelling,
"POINT (38.165752 48.559391)",U Shelling,
"POINT (38.032238 48.54942)",U Shelling,
"POINT (38.019255 48.546641)",U Shelling,
"POINT (37.983892 48.537208)",U Shelling,
"POINT (37.980116 48.521179)",U Shelling,
"POINT (38.066051 48.51778)",U Shelling,
"POINT (37.969749 48.50004)",U Shelling,
"POINT (37.954882 48.476931)",U Shelling,
"POINT (37.953441 48.447918)",U Shelling,
"POINT (37.94934 48.397132)",U Shelling,
"POINT (38.018034 48.32995)",U Shelling,
"POINT (37.814787 48.27125)",U Shelling,
"POINT (37.804831 48.237883)",U Shelling,
"POINT (37.793803 48.207112)",U Shelling,
"POINT (37.809265 48.1788)",U Shelling,
"POINT (37.862719 48.17251)",U Shelling,
"POINT (37.943097 48.13472)",U Shelling,
"POINT (37.806454 48.104471)",U Shelling,
"POINT (37.668504 48.09152)",U Shelling,
"POINT (37.716908 48.088955)",U Shelling,
"POINT (37.654362 48.084292)",U Shelling,
"POINT (37.6422536 48.0715203)",U Shelling,
"POINT (37.986356 48.065482)",U Shelling,
"POINT (37.662125 48.063523)",U Shelling,
"POINT (37.596955 48.05706)",U Shelling,
"POINT (37.765942 48.043451)",U Shelling,
"POINT (37.590027 48.0369)",U Shelling,
"POINT (37.556067 48.005785)",U Shelling,
"POINT (37.544051 47.9982)",U Shelling,
"POINT (37.514401 47.943666)",U Shelling,
"POINT (37.517787 47.934758)",U Shelling,
"POINT (37.498904 47.93176)",U Shelling,
"POINT (37.522937 47.89587)",U Shelling,
"POINT (37.531863 47.88643)",U Shelling,
"POINT (37.5377 47.859257)",U Shelling,
"POINT (37.547313 47.836447)",U Shelling,
"POINT (36.804578 47.81843)",U Shelling,
"POINT (36.823837 47.804108)",U Shelling,
"POINT (37.486888 47.785722)",U Shelling,
"POINT (36.634896 47.78063)",U Shelling,
"POINT (37.224371 47.75503)",U Shelling,
"POINT (37.308142 47.7548)",U Shelling,
"POINT (36.9504 47.754338)",U Shelling,
"POINT (37.227137 47.744)",U Shelling,
"POINT (37.039664 47.740025)",U Shelling,
"POINT (37.389853 47.731251)",U Shelling,
"POINT (36.591826 47.706172)",U Shelling,
"POINT (36.352018 47.6345)",U Shelling,
"POINT (36.328566 47.576217)",U Shelling,
"POINT (36.304774 47.55902)",U Shelling,
"POINT (36.268142 47.557685)",U Shelling,
"POINT (36.22969 47.555368)",U Shelling,
"POINT (34.636322 47.52641)",U Shelling,
"POINT (36.08753 47.524586)",U Shelling,
"POINT (35.361078 47.522847)",U Shelling,
"POINT (35.557784 47.517166)",U Shelling,
"POINT (35.671189 47.51325)",U Shelling,
"POINT (36.044958 47.511253)",U Shelling,
"POINT (35.9914 47.505919)",U Shelling,
"POINT (34.668578 47.50418)",U Shelling,
"POINT (35.4541 47.504)",U Shelling,
"POINT (35.708846 47.500005)",U Shelling,
"POINT (36.123923 47.493974)",U Shelling,
"POINT (34.44353 47.4831)",U Shelling,
"POINT (36.259902 47.4821)",U Shelling,
"POINT (35.295485 47.480054)",U Shelling,
"POINT (35.354536 47.441522)",U Shelling,
"POINT (34.610899 47.415974)",U Shelling,
"POINT (36.414397 47.410587)",U Shelling,
"POINT (35.538534 47.37332)",U Shelling,
"POINT (33.937435 47.1725)",U Shelling,
"POINT (33.742168 46.99184)",U Shelling,
"POINT (33.48793 46.811857)",U Shelling,
"POINT (33.454284 46.787885)",U Shelling,
"POINT (33.37532 46.7671)",U Shelling,
"POINT (33.421325 46.748849)",U Shelling,
"POINT (33.3815 46.748849)",U Shelling,
"POINT (33.345108 46.745085)",U Shelling,
"POINT (32.991924 46.701318)",U Shelling,
"POINT (32.869701 46.643837)",U Shelling,
"POINT (32.701141 46.61567)",U Shelling,
"POINT (32.741985 46.599507)",U Shelling,
"POINT (32.521377 46.55081)",U Shelling,
"POINT (32.536678 46.532944)",U Shelling,
"POINT (31.560972 46.53263)",U Shelling,
"POINT (32.509899 46.52916)",U Shelling,
"POINT (31.892605 46.495141)",U Shelling,
"POINT (33.479647 52.32719)",R Shelling,
"POINT (32.431373 52.298196)",R Shelling,
"POINT (32.428622 52.29765)",R Shelling,
"POINT (33.591342 52.266855)",R Shelling,
"POINT (32.947862 52.23589)",R Shelling,
"POINT (32.941811 52.23566)",R Shelling,
"POINT (32.37745 52.217063)",R Shelling,
"POINT (32.375087 52.21079)",R Shelling,
"POINT (34.042094 52.18925)",R Shelling,
"POINT (34.915627 51.17562)",R Shelling,
"POINT (34.915363 51.17558)",R Shelling,
"POINT (34.772056 51.143765)",R Shelling,
"POINT (34.772828 51.14345)",R Shelling,
"POINT (35.220687 51.02437)",R Shelling,
"POINT (35.222597 51.024311)",R Shelling,
"POINT (35.404177 50.479741)",R Shelling,
"POINT (35.403755 50.47941)",R Shelling,
"POINT (37.442697 50.395685)",R Shelling,
"POINT (37.339477 50.37094)",R Shelling,
"POINT (37.059096 50.3065)",R Shelling,
"POINT (37.080268 50.305367)",R Shelling,
"POINT (37.123948 50.3019)",R Shelling,
"POINT (36.393341 50.30004)",R Shelling,
"POINT (36.870269 50.299483)",R Shelling,
"POINT (37.019958 50.297509)",R Shelling,
"POINT (36.944733 50.29444)",R Shelling,
"POINT (35.723807 50.286778)",R Shelling,
"POINT (36.459426 50.282822)",R Shelling,
"POINT (36.972579 50.28018)",R Shelling,
"POINT (36.911468 50.274256)",R Shelling,
"POINT (36.299609 50.267792)",R Shelling,
"POINT (36.425506 50.25886)",R Shelling,
"POINT (36.777813 50.24194)",R Shelling,
"POINT (36.583452 50.223289)",R Shelling,
"POINT (37.621369 50.18107)",R Shelling,
"POINT (37.522197 50.17769)",R Shelling,
"POINT (37.833325 49.97994)",R Shelling,
"POINT (37.679022 49.84735)",R Shelling,
"POINT (37.618948 49.81873)",R Shelling,
"POINT (37.780217 49.751415)",R Shelling,
"POINT (37.879094 49.725233)",R Shelling,
"POINT (37.716384 49.71622)",R Shelling,
"POINT (37.642816 49.715309)",R Shelling,
"POINT (37.600244 49.698213)",R Shelling,
"POINT (37.899871 49.68387)",R Shelling,
"POINT (37.893633 49.650335)",R Shelling,
"POINT (37.876655 49.64708)",R Shelling,
"POINT (37.917854 49.64641)",R Shelling,
"POINT (37.947036 49.63774)",R Shelling,
"POINT (37.689164 49.627545)",R Shelling,
"POINT (37.928497 49.61929)",R Shelling,
"POINT (37.887641 49.60661)",R Shelling,
"POINT (37.936565 49.58068)",R Shelling,
"POINT (37.902493 49.57393)",R Shelling,
"POINT (37.949783 49.57189)",R Shelling,
"POINT (37.939587 49.55412)",R Shelling,
"POINT (37.946625 49.54143)",R Shelling,
"POINT (37.906524 49.54071)",R Shelling,
"POINT (37.932616 49.51307)",R Shelling,
"POINT (37.928201 49.49242)",R Shelling,
"POINT (37.923046 49.45764)",R Shelling,
"POINT (37.938839 49.43309)",R Shelling,
"POINT (37.906008 49.420926)",R Shelling,
"POINT (37.925793 49.3969)",R Shelling,
"POINT (37.997204 49.30655)",R Shelling,
"POINT (37.997105 49.27947)",R Shelling,
"POINT (38.002725 49.24237)",R Shelling,
"POINT (38.010278 49.21614)",R Shelling,
"POINT (38.047362 49.20646)",R Shelling,
"POINT (38.055288 49.17826)",R Shelling,
"POINT (38.092153 49.143349)",R Shelling,
"POINT (38.110534 49.13373)",R Shelling,
"POINT (38.140465 49.11215)",R Shelling,
"POINT (38.10504 49.109)",R Shelling,
"POINT (38.146926 49.08384)",R Shelling,
"POINT (38.149672 49.05415)",R Shelling,
"POINT (38.076393 49.0042)",R Shelling,
"POINT (38.072729 48.99395)",R Shelling,
"POINT (38.176452 48.98976)",R Shelling,
"POINT (38.21147 48.987)",R Shelling,
"POINT (38.111907 48.9821)",R Shelling,
"POINT (38.129241 48.95581)",R Shelling,
"POINT (38.254762 48.92084)",R Shelling,
"POINT (38.298674 48.90791)",R Shelling,
"POINT (38.22588 48.8703)",R Shelling,
"POINT (38.220324 48.85152)",R Shelling,
"POINT (38.24544 48.8139)",R Shelling,
"POINT (38.247863 48.80174)",R Shelling,
"POINT (38.212157 48.78636)",R Shelling,
"POINT (38.184348 48.78252)",R Shelling,
"POINT (38.152762 48.74902)",R Shelling,
"POINT (38.199903 48.74662)",R Shelling,
"POINT (38.212662 48.74008)",R Shelling,
"POINT (38.168573 48.72769)",R Shelling,
"POINT (38.139373 48.72162)",R Shelling,
"POINT (38.082724 48.68991)",R Shelling,
"POINT (38.094027 48.68633)",R Shelling,
"POINT (38.091583 48.67954)",R Shelling,
"POINT (38.093415 48.66853)",R Shelling,
"POINT (38.101607 48.65749)",R Shelling,
"POINT (38.094054 48.65318)",R Shelling,
"POINT (38.036868 48.63671)",R Shelling,
"POINT (38.030196 48.62504)",R Shelling,
"POINT (38.022308 48.61745)",R Shelling,
"POINT (38.026943 48.61666)",R Shelling,
"POINT (38.019089 48.60562)",R Shelling,
"POINT (38.030848 48.59989)",R Shelling,
"POINT (38.028144 48.59654)",R Shelling,
"POINT (38.031146 48.59163)",R Shelling,
"POINT (37.861702 48.58971)",R Shelling,
"POINT (38.034367 48.58955)",R Shelling,
"POINT (37.832176 48.58789)",R Shelling,
"POINT (38.031191 48.58785)",R Shelling,
"POINT (38.019947 48.58291)",R Shelling,
"POINT (37.964672 48.58075)",R Shelling,
"POINT (37.924873 48.56268)",R Shelling,
"POINT (38.015892 48.5597)",R Shelling,
"POINT (38.027394 48.55539)",R Shelling,
"POINT (38.017029 48.55338)",R Shelling,
"POINT (37.994568 48.5495)",R Shelling,
"POINT (37.949249 48.54746)",R Shelling,
"POINT (37.983238 48.54223)",R Shelling,
"POINT (37.833023 48.540587)",R Shelling,
"POINT (37.965385 48.53745)",R Shelling,
"POINT (37.9649558 48.5256338)",R Shelling,
"POINT (37.9640975 48.521706)",R Shelling,
"POINT (37.9610021 48.5004775)",R Shelling,
"POINT (37.946846 48.484)",R Shelling,
"POINT (37.933456 48.47786)",R Shelling,
"POINT (37.928993 48.46944)",R Shelling,
"POINT (37.934158 48.45827)",R Shelling,
"POINT (37.92762 48.4407)",R Shelling,
"POINT (37.93689 48.4261)",R Shelling,
"POINT (37.927963 48.41204)",R Shelling,
"POINT (37.937906 48.40191)",R Shelling,
